FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
3583,4f026978-575e-4bb6-ad1f-7780dea784c6,117206,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Nkwot 1,AKSKKN04,Ikono,3012,Akwa Ibom,AK, ,Urua Obo Nkwot Ikot Osukpong, , , ,OSGOF,Urua Obo Nkwot Ikot Osukpong, , , , , , , ,0,HA,7.83203000018443,5.24177000038526
3584,8d8a5e28-421b-4c18-8cc5-a8e7caca27ec,117201,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ediene 2,AKSKKN07,Ikono,3012,Akwa Ibom,AK, ,Urua Edet Mbat Mbat Aka Ekpeme, , , ,OSGOF,Urua Edet Mbat Mbat Aka Ekpeme, , , , , , , ,0,BUA,7.79155999999404,5.17501999967328
3585,013c4ebb-7ec1-4890-add3-d210d980fc87,117200,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ediene 1,AKSKKN05,Ikono,3012,Akwa Ibom,AK, ,Urua Essien Ikot Okubo, , , ,OSGOF,Urua Essien Ikot Okubo, , , , , , , ,0,HA,7.82983000035426,5.17018999996856
3586,bc6053d7-de14-44ea-a935-a95e4020d695,117199,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ediene 1,AKSKKN05,Ikono,3012,Akwa Ibom,AK, ,Urua Edemobo Afaha Ediene, , , ,OSGOF,Urua Edemobo Afaha Ediene, , , , , , , ,0,BUA,7.82780999983169,5.13808000039177
3587,9efe7880-c5e5-432d-a8ad-414de0d05e5c,117198,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Achan 3,AKSNYA08,Ika,3011,Akwa Ibom,AK, ,Atim Itun Achan, , , ,OSGOF,Atim Market Itun Achan, , , , , , , ,0,BUA,7.59608999975376,5.04061000035131
3588,ae19ec30-f144-4a63-bd74-b4172371ba66,117197,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Urban 2,AKSNYA10,Ika,3011,Akwa Ibom,AK, ,Amayam Effen Ibom, , , ,OSGOF,Amayam Market Effen Ibom, , , , , , , ,0,BUA,7.51259000002852,5.01475000031229
3589,00aeb86c-ec91-4001-adca-a765e9fcda56,117004,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ikward 3,RVSSPK03,Ikwerre,33013,Rivers,RI, ,Omuohia, , , ,OSGOF,Omuohia Market, , , , , , , ,0,SSA,6.96532999977973,5.04673000018943
3590,976d398c-8e72-459e-996c-eff425ae410d,117196,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ito 3,AKSNYA01,Ika,3011,Akwa Ibom,AK, ,Ikot Akpa Offiong, , , ,OSGOF,Anen Akpan Okpokpo Ikot Akpa Offiong, , , , , , , ,0,BUA,7.57504999985764,5.00537000032529
3591,8ddefdb1-1aa5-4b85-9530-c6b6b191850b,117195,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ito 3,AKSNYA01,Ika,3011,Akwa Ibom,AK, ,Mkpohoeto Ikot Udom, , , ,OSGOF,Mkpohoeto Market Ikot Udom, , , , , , , ,0,BUA,7.55039999986013,4.98938000038675
3592,b5a1bec8-bd81-4dfc-a1ba-06dea1d8e8e6,117194,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Odoro 2,AKSNYA06,Ika,3011,Akwa Ibom,AK, ,Urua Ikot Ababi Ikot Abasi, , , ,OSGOF,Urua Ikot Ababi Ikot Abasi, , , , , , , ,0,BUA,7.48677999959733,4.98499999985017
3593,68e400d4-9c4f-4e4e-8e8a-5c2aceb7d484,117193,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Odoro 2,AKSNYA06,Ika,3011,Akwa Ibom,AK, ,Central Ikot Akpan Abasi, , , ,OSGOF,Central Market Ikot Akpan Abasi, , , , , , , ,0,BUA,7.48092999961983,4.98033999989116
3594,bf489dcc-fd26-472e-900c-6c6c78d1051d,117186,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 1,AKSNGD05,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Ikot Akpan Abia Ikot Akpan Abia, , , ,OSGOF,Ikot Akpan Abia Market Ikot Akpan Abia, , , , , , , ,0,BUA,7.90524999978771,4.99447000039027
